id,subject,subject_type,schooling_type,faculty_type,credit,year
7891,民法総論,法学部専門教育科目,テキスト科目,甲類・乙類,3,2021
7892,新・刑法総論,法学部専門教育科目,テキスト科目,甲類・乙類,3,2021
7893,法哲学,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7894,日本法制史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7895,西洋法制史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7896,国際法Ⅰ,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7897,国際法Ⅱ,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7898,行政法,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7899,物権法,法学部専門教育科目,テキスト科目,甲類・乙類,3,2021
7900,新・債権総論,法学部専門教育科目,テキスト科目,甲類・乙類,3,2021
7901,新・債権各論,法学部専門教育科目,テキスト科目,甲類・乙類,3,2021
7902,親族法,法学部専門教育科目,テキスト科目,甲類・乙類,1,2021
7903,新・相続法,法学部専門教育科目,テキスト科目,甲類・乙類,1,2021
7904,会社法（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7905,新・商法総則・商行為法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7906,新・保険法・海商法,法学部専門教育科目,テキスト科目,甲類・乙類,3,2021
7907,手形法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7908,刑事政策学,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7909,刑法各論,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7910,新・民事訴訟法,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7911,破産法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7912,新・刑事訴訟法,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7913,新・国際私法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7914,労働法（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7915,新・経済法（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7916,英米法,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7917,政治学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,6,2021
7918,政治哲学,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7919,日本政治史,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7920,ヨーロッパ政治史,法学部専門教育科目,テキスト科目,甲類・乙類,1,2021
7921,アメリカ政治史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7922,ロシアの政治,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7923,現代中国論,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7924,日本外交史Ⅰ,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7925,日本外交史Ⅱ,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7926,西洋外交史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7927,政治思想史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7928,ヨーロッパ中世政治思想,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7929,コミュニケーション論,法学部専門教育科目,テキスト科目,甲類・乙類,4,2021
7932,経済原論（ミクロ経済学）（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7933,経済原論（マクロ経済学）（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7934,財政論（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7935,金融論（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7936,経済政策学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7937,社会政策（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7931,社会保障論（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,3,2021
7930,都市社会学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7940,人文地理学（J）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7941,地理学Ⅰ（J）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7942,地理学Ⅱ（地誌学）（J）,法学部専門教育科目,テキスト科目,甲類・乙類,2,2021
7938,経営学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,3,2021
7939,会計学（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,3,2021
7943,教育基礎論,教職科目,テキスト科目,,2,2021
7944,新・青年の心理,教職科目,テキスト科目,,1,2021
7945,学校カリキュラム論,教職科目,テキスト科目,,2,2021
7946,国語科教育法,教職科目,テキスト科目,,3,2021
7947,国語科教育法Ⅰ,教職科目,テキスト科目,,2,2021
7948,国語科教育法特殊Ⅰ,教職科目,テキスト科目,,2,2021
7949,新・社会科・地理歴史科教育法,教職科目,テキスト科目,,3,2021
7950,社会科・地理歴史科教育法Ⅰ,教職科目,テキスト科目,,2,2021
7951,新・社会科・地理歴史科教育法特論Ⅱ,教職科目,テキスト科目,,2,2021
7952,新・社会科・公民科教育法,教職科目,テキスト科目,,3,2021
7953,社会科・公民科教育法Ⅰ,教職科目,テキスト科目,,2,2021
7954,新・社会科・公民科教育法特論Ⅱ,教職科目,テキスト科目,,2,2021
7955,英語科教育法,教職科目,テキスト科目,,3,2021
7956,英語科教育法Ⅰ,教職科目,テキスト科目,,2,2021
7957,英語科教育法特殊Ⅰ,教職科目,テキスト科目,,2,2021
7958,道徳教育論,教職科目,テキスト科目,,2,2021
7959,新・特別活動論,教職科目,テキスト科目,,2,2021
7960,特別支援教育論,教職科目,テキスト科目,,2,2021
7961,生活指導論,教職科目,テキスト科目,,2,2021
7962,生徒指導論（進路指導を含む）,教職科目,テキスト科目,,2,2021
7963,教育臨床論,教職科目,テキスト科目,,2,2021
7965,「総合的な学習の時間」教育法,教職科目,テキスト科目,,1,2021
7964,教育相談論,教職科目,テキスト科目,,1,2021
8914,政治学,総合教育科目,春期メディア授業,3分野科目/社会科学分野,2,2021
7712,統計学,総合教育科目,春期メディア授業,3分野科目/自然科学分野,2,2021
7713,倫理学特殊,文学部専門教育科目,春期メディア授業,第1類,2,2021
7717,社会学特殊（岡原）,文学部専門教育科目,春期メディア授業,第1類,2,2021
7969,西洋史概説,文学部専門教育科目,春期メディア授業,第2類,2,2021
7714,英語史,文学部専門教育科目,春期メディア授業,第3類,2,2021
9225,哲学特殊（穂刈）,文学部専門教育科目,春期メディア授業,第1類,2,2021
9230,社会学特殊（玉井）,文学部専門教育科目,春期メディア授業,第1類,2,2021
9228,社会学特殊（竹ノ下）,文学部専門教育科目,春期メディア授業,第1類,2,2021
9233,法哲学,文学部専門教育科目,春期メディア授業,第1類,2,2021
9219,近代日本と福澤諭吉,文学部専門教育科目,春期メディア授業,第1類,2,2021
9220,近代日本と福澤諭吉,文学部専門教育科目,春期メディア授業,第2類,2,2021
9221,近代日本と福澤諭吉,文学部専門教育科目,春期メディア授業,第3類,2,2021
