id,subject,subject_type,schooling_type,faculty_type,credit,year,class_code
18889,現代英文学,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA002802
18890,英文学特殊,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA008001
18891,中世英文学史,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA005101
18892,近世英文学史,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA006201
18893,イギリス文学研究Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA000403
18894,イギリス文学研究Ⅱ,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA005301
18895,イギリス文学研究Ⅲ,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA000501
18896,アメリカ文学,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA004104
18897,アメリカ文学研究Ⅰ,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA004201
18898,アメリカ文学研究Ⅱ,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA006302
18899,シェイクスピア研究,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA003001
18900,日米比較文化論（総論）,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA008803
18901,近代ドイツ小説,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA006401
18902,近代ドイツ演劇,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA004301
18903,フランス文学概説,文学部専門教育科目,テキスト科目,第3類,3,2025,T0EA012201
18904,フランス文学史Ⅰ,文学部専門教育科目,テキスト科目,第3類,4,2025,T0EA100101
18905,フランス文学史Ⅱ,文学部専門教育科目,テキスト科目,第3類,4,2025,T0EA100001
18906,ロシア文学,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA006604
18907,ラテン文学,文学部専門教育科目,テキスト科目,第3類,2,2025,T0EA006702
18908,経済原論（ミクロ経済学）（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB008001
18909,経済原論（マクロ経済学）（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB008101
18913,マクロ経済学中級,経済学部専門教育科目,テキスト科目,,4,2025,T0EB100601
18910,国民所得論,経済学部専門教育科目,テキスト科目,,2,2025,T0EB002202
18914,ゲーム理論,経済学部専門教育科目,テキスト科目,,3,2025,T0EB100701
18912,情報とインセンティブの経済学,経済学部専門教育科目,テキスト科目,,4,2025,T0EB100501
18911,計量経済学,経済学部専門教育科目,テキスト科目,,2,2025,T0EB006702
18915,経済史,経済学部専門教育科目,テキスト科目,,4,2025,T0EB001603
18916,日本経済史,経済学部専門教育科目,テキスト科目,,2,2025,T0EB004103
18917,世界経済史,経済学部専門教育科目,テキスト科目,,4,2025,T0EB100201
18918,社会思想史,経済学部専門教育科目,テキスト科目,,4,2025,T0EB100101
18919,経済政策学（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB002902
18920,財政論（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB001102
18921,金融論（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB003603
18922,社会政策（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB001402
18924,社会保障論（Ｅ）,経済学部専門教育科目,テキスト科目,,3,2025,T0EB100401
18923,新・国際貿易論,経済学部専門教育科目,テキスト科目,,4,2025,T0EB001304
18927,人文地理学（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB100301
18925,地理学Ⅰ（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB004402
18926,地理学Ⅱ（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB004502
18928,都市社会学（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB007002
18929,経営学（Ｅ）,経済学部専門教育科目,テキスト科目,,3,2025,T0EB003703
18930,経営分析論,経済学部専門教育科目,テキスト科目,,2,2025,T0EB000501
18931,経営数学,経済学部専門教育科目,テキスト科目,,2,2025,T0EB003801
18932,商業学,経済学部専門教育科目,テキスト科目,,2,2025,T0EB002602
18933,保険学,経済学部専門教育科目,テキスト科目,,3,2025,T0EB000203
18934,会計学（Ｅ）,経済学部専門教育科目,テキスト科目,,3,2025,T0EB003503
18935,新・簿記論,経済学部専門教育科目,テキスト科目,,2,2025,T0EB000402
18938,管理会計論,経済学部専門教育科目,テキスト科目,,2,2025,T0EB100801
18937,原価計算,経済学部専門教育科目,テキスト科目,,2,2025,T0EB002004
18936,会計監査,経済学部専門教育科目,テキスト科目,,2,2025,T0EB004202
18939,法学概論（E),経済学部専門教育科目,テキスト科目,,2,2025,T0EB100002
18940,憲法（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB000603
18941,民法,経済学部専門教育科目,テキスト科目,,4,2025,T0EB002802
18942,労働法（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB000802
18943,経済法（Ｅ）,経済学部専門教育科目,テキスト科目,,2,2025,T0EB002105
18944,会社法（Ｅ）,経済学部専門教育科目,テキスト科目,,4,2025,T0EB000704
18945,憲法（Ｊ）,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC001603
18946,民法総論,法学部専門教育科目,テキスト科目,甲類・乙類,3,2025,T0EC002304
18947,刑法総論,法学部専門教育科目,テキスト科目,甲類・乙類,3,2025,T0EC000804
18948,法哲学,法学部専門教育科目,テキスト科目,甲類・乙類,2,2025,T0EC000902
18949,日本法制史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC100501
18950,西洋法制史,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC100601
18951,新・国際法Ⅰ,法学部専門教育科目,テキスト科目,甲類・乙類,4,2025,T0EC006204
