No, 授業形態, 大分類, 中分類, 小分類, 科目名, 科目名(新を除く), 配本名, 期No, 群, 単位数, レポ提出
14048, テキスト, 文学部専門教育科目, 第3類, , 漢文学Ⅱ, 漢文学Ⅱ, Ⅳ②, 8, B, 1, WEB可
14049, テキスト, 文学部専門教育科目, 第3類, , 漢文学Ⅲ, 漢文学Ⅲ, Ⅳ②, 8, D, 1, WEB可
14050, テキスト, 文学部専門教育科目, 第3類, , 現代英語学, 現代英語学, Ⅳ②, 8, A, 3, WEB可
14051, テキスト, 文学部専門教育科目, 第3類, , 英語学概論, 英語学概論, Ⅲ①, 5, B, 3, WEB可
14052, テキスト, 文学部専門教育科目, 第3類, , 英語音声学, 英語音声学, Ⅳ②, 8, C, 2, WEB可
14053, テキスト, 文学部専門教育科目, 第3類, , 英語史, 英語史, Ⅳ②, 8, B, 2, WEB可
14054, テキスト, 文学部専門教育科目, 第3類, , ACADEMIC WRITING Ⅰ, ACADEMIC WRITING Ⅰ, Ⅲ①, 5, A, 2, WEB可
14055, テキスト, 文学部専門教育科目, 第3類, , ACADEMIC WRITING Ⅱ, ACADEMIC WRITING Ⅱ, Ⅳ②, 8, F, 4, WEB可
14056, テキスト, 文学部専門教育科目, 第3類, , 現代英文学, 現代英文学, Ⅲ②, 6, C, 2, WEB可
14057, テキスト, 文学部専門教育科目, 第3類, , 英文学特殊, 英文学特殊, Ⅲ①, 5, E, 2, WEB可
14058, テキスト, 文学部専門教育科目, 第3類, , 中世英文学史, 中世英文学史, Ⅲ①, 5, E, 2, WEB可
14059, テキスト, 文学部専門教育科目, 第3類, , 近世英文学史, 近世英文学史, Ⅱ, 3, F, 2, WEB可
14060, テキスト, 文学部専門教育科目, 第3類, , イギリス文学研究Ⅰ, イギリス文学研究Ⅰ, Ⅲ①, 5, A, 2, WEB可
14061, テキスト, 文学部専門教育科目, 第3類, , イギリス文学研究Ⅱ, イギリス文学研究Ⅱ, Ⅳ②, 8, E, 2, WEB可
14062, テキスト, 文学部専門教育科目, 第3類, , イギリス文学研究Ⅲ, イギリス文学研究Ⅲ, Ⅳ①, 7, A, 2, WEB可
14063, テキスト, 文学部専門教育科目, 第3類, , アメリカ文学, アメリカ文学, Ⅲ②, 6, D, 2, WEB可
14064, テキスト, 文学部専門教育科目, 第3類, , アメリカ文学研究Ⅰ, アメリカ文学研究Ⅰ, Ⅳ①, 7, D, 2, WEB可
14065, テキスト, 文学部専門教育科目, 第3類, , アメリカ文学研究Ⅱ, アメリカ文学研究Ⅱ, Ⅳ①, 7, F, 2, WEB可
14066, テキスト, 文学部専門教育科目, 第3類, , シェイクスピア研究, シェイクスピア研究, Ⅳ①, 7, C, 2, WEB可
14067, テキスト, 文学部専門教育科目, 第3類, , 近代ドイツ小説, 近代ドイツ小説, Ⅲ②, 6, F, 2, WEB可
14068, テキスト, 文学部専門教育科目, 第3類, , 日米比較文化論（総論）, 日米比較文化論（総論）, Ⅲ②, 6, D, 2, WEB可
14069, テキスト, 文学部専門教育科目, 第3類, , 近代ドイツ演劇, 近代ドイツ演劇, Ⅳ①, 7, D, 2, WEB可
14070, テキスト, 文学部専門教育科目, 第3類, , フランス文学概説, フランス文学概説, Ⅱ, 3, A, 3, WEB可
14071, テキスト, 文学部専門教育科目, 第3類, , フランス文学史Ⅰ, フランス文学史Ⅰ, Ⅱ, 3, B, 4, WEB可
14072, テキスト, 文学部専門教育科目, 第3類, , フランス文学史Ⅱ, フランス文学史Ⅱ, Ⅲ①, 5, F, 4, WEB可
14073, テキスト, 文学部専門教育科目, 第3類, , ロシア文学, ロシア文学, Ⅲ②, 6, F, 2, 郵送
14074, テキスト, 文学部専門教育科目, 第3類, , 新・ラテン文学, ラテン文学, Ⅳ②, 8, F, 2, WEB可
14085, テキスト, 経済学部専門教育科目, 第3類, ◆, 経済政策学（Ｅ）, 経済政策学（Ｅ）, Ⅲ①, 5, E, 2, WEB可
14089, テキスト, 経済学部専門教育科目, 第5類, , 国際貿易論, 国際貿易論, Ⅳ①, 7, B, 4, WEB可
14095, テキスト, 経済学部専門教育科目, 第6類, ◆, 経営学（Ｅ）, 経営学（Ｅ）, Ⅲ①, 5, F, 3, WEB可
14081, テキスト, 経済学部専門教育科目, 第2類, ◆, 経済史, 経済史, Ⅱ, 3, C, 4, WEB可
14090, テキスト, 経済学部専門教育科目, 第3類, , 社会保障論（Ｅ）, 社会保障論（Ｅ）, Ⅲ②, 6, B, 2, WEB可
14075, テキスト, 経済学部専門教育科目, 第1類, ◆, 経済原論（ミクロ経済学）（Ｅ）, 経済原論（ミクロ経済学）（Ｅ）, Ⅱ, 3, A, 2, WEB可
15329, テキスト, 経済学部専門教育科目, 第7類, , 憲法（Ｅ）, 憲法（Ｅ）, Ⅲ①, 5, A, 2, WEB可
14082, テキスト, 経済学部専門教育科目, 第2類, , 日本経済史, 日本経済史, Ⅲ①, 5, F, 2, WEB可
14086, テキスト, 経済学部専門教育科目, 第3類, ◆, 財政論（Ｅ）, 財政論（Ｅ）, Ⅱ, 3, B, 2, WEB可
14091, テキスト, 経済学部専門教育科目, 第4類, , 地理学Ⅰ（Ｅ）, 地理学Ⅰ（Ｅ）, Ⅲ①, 5, C, 2, WEB可
14094, テキスト, 経済学部専門教育科目, 第4類, , 都市社会学（Ｅ）, 都市社会学（Ｅ）, Ⅳ①, 7, E, 2, WEB可
