ID, Name, Form, CategoryID, SubcategoryID, CouseID, Group, Level, Unit, Start, End
T1F01, 仏文学概説, T, 9, 3, 1F, A, 3, 3, 2000, 2100
T1F02, 仏文学史1, T, 9, 3, 1F, B, 3, 4, 2000, 2100
T1F03, 仏文学史2, T, 9, 3, 1F, F, 5, 4, 2000, 2100
M1F01, E-仏文学, M/B, 9, 3, 1F, A, 1, 2, 2022, 2100
S1F01, フランス文学, S, 9, 3, 1F, , 3, 2, , 
S1F02, フランス文学史, S, 9, 3, 1F, , 3, 2, , 
S1F03, フランス語学, S, 9, 3, 1F, , 3, 2, , 
T2101, ミクロ経済(E), T, 10, 5, 21, A, 3, 2, 2000, 2100
T2102, マクロ経済(E), T, 10, 5, 21, B, 3, 2, 2000, 2100
T2103, 国民所得論, T, 10, 6, 21, D, 5, 2, 2000, 2100
T2104, 計量経済学, T, 10, 6, 21, C, 7, 2, 2000, 2100
T2105, インセンティブ, T, 10, 6, 21, F, 5, 4, 2022, 2100
T2106, ゲーム理論, T, 10, 6, 21, E, 5, 3, 2024, 2100
T2107, マクロ中級, T, 10, 6, 21, D, 6, 4, 2022, 2100
T2108, ミクロ経済(J), T, 12, 7, 21, A, 7, 2, 2000, 2100
T2109, マクロ経済(J), T, 12, 7, 21, B, 7, 2, 2000, 2100
M2101, E-経済原論, M/B, 14, 6, 21, A, 1, 2, 2014, 2100
M2102, E-ゲーム理論, M/B, 15, 1, 21, C, 1, 2, 2021, 2100
S2101, ミクロ経済学, S, 14, 6, 21, , 3, 2, , 
S2102, マクロ経済学, S, 14, 6, 21, , 3, 2, , 
S2103, ゲーム理論, S, 15, 1, 21, , 3, 2, , 
S2104, 計量経済学, S, 14, 6, 21, , 3, 2, , 
S2105, 現代資本主義論, S, 10, 6, 21, , 3, 2, , 
T2201, 経済史, T, 10, 5, 22, C, 3, 4, 2000, 2100
T2202, 日本経済史, T, 10, 6, 22, F, 5, 2, 2000, 2100
T2203, 世界経済史, T, 10, 6, 22, D, 6, 4, 2000, 2100
T2204, 社会思想史, T, 10, 6, 22, F, 7, 4, 2000, 2100
M2201, E-福澤諭吉, M/B, 15, 4, 22, F, 1, 2, 2014, 2100
M2202, E-ﾏﾙｸｽ経済学, M/B, 14, 6, 22, E, 1, 2, 2020, 2100
